Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),SERP Features
web scraping,Informational,1830000,"0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00",67,3.49,"Sitelinks, AI Overview, Video, People also ask, Related searches, Things to know"
python,Navigational,368000,"0.20,0.24,0.30,0.24,1.00,0.30,0.20,0.20,0.24,0.24,0.36,0.82",100,1.98,"Sitelinks, Video, Video carousel, People also ask, Related searches"
n8n,Navigational,165000,"0.07,0.16,0.36,0.36,0.44,0.66,0.81,1.00,0.81,0.81,1.00,0.66",87,2.54,"Sitelinks, Image, Video, People also ask, Knowledge panel, Related searches, Ads bottom"
airtable,"Navigational, Commercial",135000,"0.54,0.81,0.81,0.81,0.81,0.81,1.00,1.00,0.81,0.81,0.81,0.66",69,5.87,"Sitelinks, Video, Video carousel, People also ask, Related searches, Ads top, Ads bottom"
zapier,Navigational,135000,"0.45,0.67,0.67,0.82,0.82,0.67,0.67,0.82,1.00,0.67,0.82,0.54",92,3.52,"Sitelinks, Video, Video carousel, People also ask, Knowledge panel, Related searches, Ads top, Ads bottom"
selenium,Informational,110000,"0.67,0.54,0.54,1.00,0.54,0.54,0.54,0.44,0.37,0.44,0.37,0.54",100,1.35,"Sitelinks, AI Overview, Video, Video carousel, Short videos, People also ask, Knowledge panel, Related searches, See results about, Things to know"
algorithm,Informational,90500,"0.36,0.54,0.44,0.44,0.54,0.36,0.36,0.44,0.44,0.81,0.54,1.00",77,0.17,"AI Overview, Instant answer, Video, Video carousel, Short videos, People also ask, Knowledge panel, Related searches, Things to know"
make,"Informational, Navigational",74000,"0.67,1.00,0.55,0.67,0.67,0.67,0.67,0.67,0.55,0.67,0.82,0.82",100,1.93,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches, See results about, Ads bottom"
coding,Informational,60500,"0.55,0.55,0.82,0.82,0.82,1.00,0.55,0.37,0.67,0.82,0.67,1.00",93,3.31,"AI Overview, Video, Video carousel, People also ask, Related searches, Things to know, Ads bottom, Ads middle"
automation,Informational,33100,"1.00,1.00,1.00,1.00,0.82,0.82,0.67,0.82,0.82,1.00,1.00,0.82",80,5.80,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches, Things to know"
programming,Informational,22200,"0.67,0.67,1.00,1.00,0.67,0.82,0.82,0.67,0.82,0.67,0.82,1.00",89,4.61,"Sitelinks, AI Overview, Video, People also ask, Related searches, Things to know"
python programming,Navigational,22200,"0.36,0.44,0.36,0.44,0.44,0.44,0.36,0.36,1.00,0.36,0.54,0.44",91,1.86,"Sitelinks, Video, Video carousel, People also ask, Knowledge panel, Related searches, Things to know"
scraping,Informational,22200,"0.67,1.00,0.67,0.67,0.67,0.67,0.67,0.82,0.67,0.67,0.30,0.44",66,3.88,"Sitelinks, AI Overview, Instant answer, Video, People also ask, Knowledge panel, Related searches, Things to know"
